timestamp,millis, 76f96f013c, d39896f013c,819096f013c, 61ac96f013c, c71996f013c, 145496f013c, 50c596f013c, b84c96f013c
2023-03-02T15:49:43Z,126932,24.44,23.38,25.25,24.25,23.81,24,23.56,24.81
2023-03-02T15:49:44Z,128083,24.38,23.38,25.19,24.25,23.81,24,23.56,24.75
2023-03-02T15:49:45Z,129233,24.38,23.44,25.13,24.25,23.81,23.94,23.56,24.75
2023-03-02T15:49:46Z,130384,24.38,23.44,25.13,24.19,23.81,23.94,23.5,24.69
2023-03-02T15:49:47Z,131535,24.31,23.38,25.13,24.25,23.81,23.94,23.5,24.69
2023-03-02T15:49:48Z,132686,24.31,23.38,25,24.19,23.81,23.94,23.5,24.63
2023-03-02T15:49:49Z,133842,24.25,23.38,25,24.19,23.81,23.94,23.5,24.63
2023-03-02T15:49:51Z,134991,24.25,23.38,24.94,24.19,23.81,23.94,23.5,24.56
2023-03-02T15:49:52Z,136142,24.19,23.38,24.88,24.19,23.75,23.94,23.5,24.5
2023-03-02T15:49:53Z,137293,24.19,23.38,24.88,24.19,23.75,23.94,23.5,24.5
2023-03-02T15:49:54Z,138444,24.13,23.38,24.81,24.13,23.81,23.94,23.5,24.44
2023-03-02T15:49:55Z,139595,24.06,23.38,24.75,24.19,23.75,23.94,23.5,24.44
2023-03-02T15:49:56Z,140746,24.13,23.38,24.75,24.13,23.75,23.94,23.5,24.38
2023-03-02T15:49:58Z,141897,24.13,23.38,24.69,24.19,23.75,23.94,23.5,24.38
2023-03-02T15:49:59Z,143048,24.13,23.38,24.69,24.13,23.75,23.94,23.5,24.31
2023-03-02T15:50:00Z,144199,24.13,23.38,24.69,24.13,23.75,23.88,23.5,24.25
2023-03-02T15:50:01Z,145350,24.13,23.38,24.63,24.13,23.75,23.94,23.5,24.31
2023-03-02T15:50:02Z,146501,24.13,23.38,24.56,24.13,23.75,23.94,23.44,24.25
2023-03-02T15:50:03Z,147649,24.13,23.38,24.5,24.13,23.75,24,23.44,24.19
2023-03-02T15:50:04Z,148800,24.19,23.38,24.5,24.13,23.75,23.94,23.5,24.19
2023-03-02T15:50:06Z,149951,24.19,23.31,24.44,24.13,23.75,23.94,23.44,24.19
2023-03-02T15:50:07Z,151102,24.19,23.31,24.44,24.06,23.75,23.94,23.5,24.13
2023-03-02T15:50:08Z,152253,24.19,23.31,24.38,24.06,23.75,23.94,23.5,24.13
2023-03-02T15:50:09Z,153404,24.19,23.38,24.31,24.06,23.75,23.94,23.44,24.06
2023-03-02T15:50:10Z,154555,24.25,23.38,24.31,24.13,23.75,23.94,23.5,24
2023-03-02T15:50:11Z,155706,24.19,23.31,24.31,24.06,23.75,23.94,23.44,24
2023-03-02T15:50:13Z,156857,24.19,23.31,24.31,24.06,23.75,23.94,23.5,24
2023-03-02T15:50:14Z,158008,24.25,23.38,24.31,24.06,23.75,23.94,23.44,23.94
2023-03-02T15:50:15Z,159162,24.25,23.31,24.31,24.06,23.69,23.94,23.44,23.94
2023-03-02T15:50:16Z,160313,24.25,23.31,24.31,24.06,23.75,23.94,23.44,23.94
2023-03-02T15:50:17Z,161464,24.25,23.31,24.31,24.06,23.75,23.94,23.44,23.94
2023-03-02T15:50:18Z,162614,24.25,23.31,24.38,24.06,23.69,23.88,23.44,23.94
2023-03-02T15:50:19Z,163765,24.25,23.31,24.31,24,23.69,23.88,23.44,23.94
2023-03-02T15:50:21Z,164916,24.25,23.31,24.38,24.06,23.75,23.94,23.38,23.94
2023-03-02T15:50:22Z,166072,24.25,23.31,24.38,24,23.69,23.88,23.38,23.94
2023-03-02T15:50:23Z,167223,24.25,23.31,24.38,24,23.75,23.88,23.44,24
2023-03-02T15:50:24Z,168374,24.25,23.38,24.38,24,23.75,23.88,23.44,24
2023-03-02T15:50:25Z,169525,24.25,23.31,24.38,24.06,23.75,23.94,23.38,23.94
2023-03-02T15:50:26Z,170676,24.25,23.19,24.38,24,23.75,23.88,23.38,23.94
2023-03-02T15:50:27Z,171830,24.25,21.06,24.38,24,23.75,23.88,23.38,24
2023-03-02T15:50:29Z,172981,24.25,18.5,24.38,24,23.75,23.88,23.38,24
2023-03-02T15:50:30Z,174132,24.31,16.31,24.38,24,23.75,23.88,23.44,23.94
2023-03-02T15:50:31Z,175283,24.25,14.5,24.38,24,23.75,23.44,23.44,23.94
2023-03-02T15:50:32Z,176434,24.25,13.06,24.38,24,22.69,20.81,23.44,24
2023-03-02T15:50:33Z,177585,24.19,11.88,24.44,24,19.94,18.06,23.44,24
2023-03-02T15:50:34Z,178736,24.25,10.88,24.38,24,17.44,16,23.44,23.94
2023-03-02T15:50:36Z,179887,24.19,10.13,24.44,24,15.5,14.44,23.44,24
2023-03-02T15:50:37Z,181038,24.19,9.5,24.44,24,14.06,13.13,22.38,24
2023-03-02T15:50:38Z,182189,24.25,8.94,24.44,24,12.88,12,20,24
2023-03-02T15:50:39Z,183343,24.19,8.38,24.38,22.94,11.88,11.19,17.81,24
2023-03-02T15:50:40Z,184493,24.19,7.94,24.44,20.13,11,10.38,15.94,24
2023-03-02T15:50:41Z,185644,24.19,7.56,24.38,18.06,10.25,9.75,14.44,24
2023-03-02T15:50:42Z,186793,24.19,7.25,24.44,16.63,9.63,9,13.25,24
2023-03-02T15:50:44Z,187943,24.13,6.94,24.44,15.69,9.06,8.56,12.25,24
2023-03-02T15:50:45Z,189094,24.13,6.63,24.44,15,8.56,8.06,11.5,24
2023-03-02T15:50:46Z,190244,24.13,6.38,24.44,14.44,8.13,7.69,10.88,24
